sampleId	popId	site	country	region	groupLabel	groupAge	flag	shapeA	colorA	latitude	longitude	callset	dataSource	age14C	ageHigh	ageLow	ageAverage	datingSource	coverage	sex	hgMT	gpAvg	ageRaw	clusterId	clusterIBDGlobal	clusterIBDFine	hgYMajor	hgYMinor	color	clusterAlias	shape
NA18486	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18488	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18489	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18498	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18499	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18501	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18502	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18504	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18505	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18507	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18508	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18510	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18511	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18516	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18517	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18519	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18520	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18522	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18523	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18853	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18856	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18858	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18861	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18864	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18865	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18867	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18868	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18870	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XX	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
NA18871	YRI	NA	Nigeria	WestAfrica	YRI	Modern	0	0	NA	NA	NA	sg.diploid	1000g	NA	NA	NA	NA	NA	NA	XY	NA	NA	NA	NA	Africa_modern	YRI	NA	NA	yellow4	Africa_modern	0
